id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
DLI0015,VietJet Air,829.920 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0030,VietJet Air,829.920 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0064,Vietnam Airlines,1.155.843 VND/khách,08:55,02 thg 5,09:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0123,Vietnam Airlines,1.484.514 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0046,Vietnam Airlines,1.495.503 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0002,Bamboo Airways,782.244 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,25-04-2025
DLI0015,VietJet Air,1.063.335 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,25-04-2025
DLI0003,Bamboo Airways,1.151.075 VND/khách,16:45,03 thg 5,17:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0016,VietJet Air,1.163.155 VND/khách,09:55,03 thg 5,10:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0031,VietJet Air,1.163.155 VND/khách,15:35,03 thg 5,16:30,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0047,Vietnam Airlines,1.375.623 VND/khách,05:45,03 thg 5,06:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0124,Vietnam Airlines,1.375.623 VND/khách,21:10,03 thg 5,22:10,03 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0065,Vietnam Airlines,1.393.605 VND/khách,08:55,03 thg 5,09:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0047,Vietnam Airlines,1.275.723 VND/khách,05:45,03 thg 5,06:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0016,VietJet Air,1.137.150 VND/khách,09:55,03 thg 5,10:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0031,VietJet Air,1.137.150 VND/khách,15:35,03 thg 5,16:30,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0003,Bamboo Airways,1.151.075 VND/khách,16:45,03 thg 5,17:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0124,Vietnam Airlines,1.375.623 VND/khách,21:10,03 thg 5,22:10,03 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0065,Vietnam Airlines,1.390.608 VND/khách,08:55,03 thg 5,09:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0047,Vietnam Airlines,1.277.721 VND/khách,05:45,03 thg 5,06:40,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0016,VietJet Air,1.139.145 VND/khách,09:55,03 thg 5,10:50,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0031,VietJet Air,1.139.145 VND/khách,15:35,03 thg 5,16:30,03 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
