,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
79,Vietnam Airlines,1527121,13:05,2025-05-06,2025-05-06,14:00,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0255
83,Bamboo Airways,754708,16:30,2025-05-07,2025-05-07,17:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0006
84,Vietravel Airlines,759098,17:25,2025-05-07,2025-05-07,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0328
85,VietJet Air,817000,17:10,2025-05-07,2025-05-07,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0137
86,VietJet Air,1037000,05:55,2025-05-07,2025-05-07,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0022
87,VietJet Air,1037000,15:40,2025-05-07,2025-05-07,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0114
88,Vietnam Airlines,1114884,05:40,2025-05-07,2025-05-07,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0187
89,VietJet Air,1146000,14:05,2025-05-07,2025-05-07,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0093
90,VietJet Air,1283000,09:20,2025-05-07,2025-05-07,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0047
91,VietJet Air,1283000,11:35,2025-05-07,2025-05-07,12:35,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=07-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0071
