,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
131,PQC0331,Vietravel Airlines,967.575 VND/khách,17:25,2025-05-10,18:25,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
132,PQC0140,VietJet Air,1.146.000 VND/khách,17:10,2025-05-10,18:15,2025-05-10,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
133,PQC0025,VietJet Air,1.283.000 VND/khách,05:55,2025-05-10,06:55,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
134,PQC0096,VietJet Air,1.283.000 VND/khách,14:05,2025-05-10,15:05,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
135,PQC0117,VietJet Air,1.283.000 VND/khách,15:40,2025-05-10,16:40,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
136,PQC0074,VietJet Air,1.399.000 VND/khách,11:35,2025-05-10,12:35,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
137,PQC0277,Vietnam Airlines,1.479.205 VND/khách,15:05,2025-05-10,16:10,2025-05-10,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
138,PQC0258,Vietnam Airlines,1.535.463 VND/khách,13:05,2025-05-10,14:00,2025-05-10,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
139,PQC0050,VietJet Air,1.567.000 VND/khách,09:20,2025-05-10,10:20,2025-05-10,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
140,PQC0234,Vietnam Airlines,1.860.970 VND/khách,10:25,2025-05-10,11:25,2025-05-10,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
141,PQC0190,Vietnam Airlines,1.917.142 VND/khách,05:40,2025-05-10,06:40,2025-05-10,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
142,PQC0211,Vietnam Airlines,1.976.434 VND/khách,08:10,2025-05-10,08:55,2025-05-10,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
146,PQC0008,Bamboo Airways,829.158 VND/khách,16:30,2025-05-11,17:30,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
147,PQC0332,Vietravel Airlines,767.292 VND/khách,17:25,2025-05-11,18:25,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
148,PQC0118,VietJet Air,814.000 VND/khách,15:40,2025-05-11,16:40,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
149,PQC0141,VietJet Air,814.000 VND/khách,17:10,2025-05-11,18:15,2025-05-11,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
150,PQC0026,VietJet Air,1.037.000 VND/khách,05:55,2025-05-11,06:55,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
151,PQC0051,VietJet Air,1.142.000 VND/khách,09:20,2025-05-11,10:20,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
152,PQC0075,VietJet Air,1.142.000 VND/khách,11:35,2025-05-11,12:35,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
153,PQC0097,VietJet Air,1.142.000 VND/khách,14:05,2025-05-11,15:05,2025-05-11,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
154,PQC0191,Vietnam Airlines,1.142.171 VND/khách,05:40,2025-05-11,06:40,2025-05-11,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
155,PQC0310,Vietnam Airlines,1.142.171 VND/khách,20:20,2025-05-11,21:20,2025-05-11,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
156,PQC0259,Vietnam Airlines,1.254.516 VND/khách,13:05,2025-05-11,14:00,2025-05-11,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
157,PQC0278,Vietnam Airlines,1.254.516 VND/khách,15:05,2025-05-11,16:10,2025-05-11,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
158,PQC0235,Vietnam Airlines,1.366.860 VND/khách,10:25,2025-05-11,11:25,2025-05-11,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
159,PQC0212,Vietnam Airlines,1.479.205 VND/khách,08:10,2025-05-11,08:55,2025-05-11,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
162,PQC0003,Bamboo Airways,1.245.267 VND/khách,16:30,2025-05-03,17:30,2025-05-03,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-02,PQC
163,PQC0324,Vietravel Airlines,1.065.330 VND/khách,17:25,2025-05-03,18:25,2025-05-03,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-02,PQC
164,PQC0018,VietJet Air,1.165.000 VND/khách,05:55,2025-05-03,06:55,2025-05-03,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-02,PQC
165,PQC0037,VietJet Air,1.165.000 VND/khách,08:25,2025-05-03,09:30,2025-05-03,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-02,PQC
