id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0156,Vietnam Airlines,899100,5,6,55,HAN,10.0,0.0,1,4
HAN0177,Vietnam Airlines,1137861,8,9,55,HAN,10.0,23.0,1,4
HAN0108,Vietnam Airlines,1246752,10,11,55,HAN,10.0,23.0,1,4
HAN0129,Vietnam Airlines,1381617,17,18,55,HAN,10.0,23.0,1,4
HAN0053,VietJet Air,1181040,9,10,55,HAN,7.0,0.0,0,1
HAN0155,Vietnam Airlines,1389659,5,6,55,HAN,10.0,23.0,0,1
HAN0175,Vietnam Airlines,1812186,8,9,55,HAN,10.0,23.0,0,1
HAN0106,Vietnam Airlines,2020977,10,11,55,HAN,10.0,23.0,0,1
HAN0007,Bamboo Airways,947464,16,17,55,HAN,7.0,0.0,1,2
HAN0054,VietJet Air,1133160,9,10,55,HAN,7.0,0.0,1,2
HAN0128,Vietnam Airlines,1343655,17,18,55,HAN,10.0,23.0,1,2
HAN0176,Vietnam Airlines,1997001,8,9,55,HAN,10.0,23.0,1,2
HAN0055,VietJet Air,807975,9,10,55,HAN,7.0,0.0,1,3
HAN0156,Vietnam Airlines,903096,5,6,55,HAN,10.0,0.0,1,3
HAN0177,Vietnam Airlines,1160838,8,9,55,HAN,10.0,23.0,1,3
HAN0108,Vietnam Airlines,1295154,10,11,55,HAN,10.0,23.0,1,3
HAN0129,Vietnam Airlines,1580229,17,18,55,HAN,10.0,23.0,1,3
HAN0007,Bamboo Airways,1211612,16,17,55,HAN,7.0,0.0,1,1
HAN0128,Vietnam Airlines,1562436,17,18,55,HAN,10.0,23.0,1,1
HAN0054,VietJet Air,1607207,9,10,55,HAN,7.0,0.0,1,1
HAN0055,VietJet Air,798000,9,10,55,HAN,7.0,0.0,1,2
HAN0156,Vietnam Airlines,1007991,5,6,55,HAN,10.0,0.0,1,2
HAN0177,Vietnam Airlines,1161837,8,9,55,HAN,10.0,23.0,1,2
HAN0108,Vietnam Airlines,1366161,10,11,55,HAN,10.0,23.0,1,2
HAN0129,Vietnam Airlines,1593405,17,18,55,HAN,10.0,23.0,1,2
HAN0149,Vietnam Airlines,1942056,5,6,55,HAN,12.0,23.0,3,13
HAN0001,Bamboo Airways,1564488,16,17,55,HAN,7.0,0.0,3,13
HAN0045,VietJet Air,1578045,9,10,55,HAN,7.0,0.0,3,13
